Historic,Symbol,Open,High,Low,Close,Open Time ,Close Time
Historic,ETHBTC,0.03361400,0.03361600,0.03354000,0.03358500,23/08/2020 22:45:00,23/08/2020 22:59:59
Historic,ETHBTC,0.03360300,0.03362800,0.03358600,0.03361600,23/08/2020 22:30:00,23/08/2020 22:44:59
Historic,ETHBTC,0.03369500,0.03370500,0.03360000,0.03360000,23/08/2020 22:15:00,23/08/2020 22:29:59
Historic,ETHBTC,0.03370400,0.03374100,0.03369000,0.03369400,23/08/2020 22:00:00,23/08/2020 22:14:59
Historic,ETHBTC,0.03365100,0.03375500,0.03364900,0.03370100,23/08/2020 21:45:00,23/08/2020 21:59:59
Historic,ETHBTC,0.03370500,0.03371000,0.03364200,0.03364700,23/08/2020 21:30:00,23/08/2020 21:44:59
Historic,ETHBTC,0.03366300,0.03372000,0.03366000,0.03370900,23/08/2020 21:15:00,23/08/2020 21:29:59
Historic,ETHBTC,0.03367500,0.03369500,0.03362700,0.03366100,23/08/2020 21:00:00,23/08/2020 21:14:59
Historic,ETHBTC,0.03368200,0.03370700,0.03363800,0.03367500,23/08/2020 20:45:00,23/08/2020 20:59:59
Historic,ETHBTC,0.03374500,0.03374500,0.03365300,0.03368600,23/08/2020 20:30:00,23/08/2020 20:44:59
Historic,ETHBTC,0.03374700,0.03375500,0.03369000,0.03374600,23/08/2020 20:15:00,23/08/2020 20:29:59
Historic,ETHBTC,0.03371400,0.03375000,0.03369000,0.03374700,23/08/2020 20:00:00,23/08/2020 20:14:59
Historic,ETHBTC,0.03372300,0.03373600,0.03369100,0.03371300,23/08/2020 19:45:00,23/08/2020 19:59:59
Historic,ETHBTC,0.03362000,0.03372500,0.03361700,0.03372300,23/08/2020 19:30:00,23/08/2020 19:44:59
Historic,ETHBTC,0.03357900,0.03365900,0.03357300,0.03361900,23/08/2020 19:15:00,23/08/2020 19:29:59
Historic,ETHBTC,0.03359400,0.03360000,0.03351100,0.03357900,23/08/2020 19:00:00,23/08/2020 19:14:59
Historic,ETHBTC,0.03356500,0.03360000,0.03355600,0.03359900,23/08/2020 18:45:00,23/08/2020 18:59:59
Historic,ETHBTC,0.03357800,0.03361800,0.03354200,0.03357300,23/08/2020 18:30:00,23/08/2020 18:44:59
Historic,ETHBTC,0.03348400,0.03359400,0.03348200,0.03358700,23/08/2020 18:15:00,23/08/2020 18:29:59
Historic,ETHBTC,0.03351300,0.03351300,0.03346700,0.03348600,23/08/2020 18:00:00,23/08/2020 18:14:59
Historic,ETHBTC,0.03353400,0.03355300,0.03349100,0.03351600,23/08/2020 17:45:00,23/08/2020 17:59:59
Historic,ETHBTC,0.03354000,0.03356700,0.03350500,0.03352600,23/08/2020 17:30:00,23/08/2020 17:44:59
Historic,ETHBTC,0.03349800,0.03354000,0.03345900,0.03354000,23/08/2020 17:15:00,23/08/2020 17:29:59
Historic,ETHBTC,0.03351900,0.03355900,0.03348900,0.03349700,23/08/2020 17:00:00,23/08/2020 17:14:59
Historic,ETHBTC,0.03354100,0.03354600,0.03350200,0.03351500,23/08/2020 16:45:00,23/08/2020 16:59:59
Historic,ETHBTC,0.03357200,0.03361500,0.03352800,0.03354100,23/08/2020 16:30:00,23/08/2020 16:44:59
Historic,ETHBTC,0.03364200,0.03364500,0.03356400,0.03357300,23/08/2020 16:15:00,23/08/2020 16:29:59
Historic,ETHBTC,0.03369400,0.03372000,0.03361700,0.03364400,23/08/2020 16:00:00,23/08/2020 16:14:59
Historic,ETHBTC,0.03361100,0.03371100,0.03360800,0.03369300,23/08/2020 15:45:00,23/08/2020 15:59:59
